Company	Major	Grade	Award	Semester	Need/No Need	Rexburg	Rigby	Idaho Falls	IF	Sugar City	St Anthony	Ammon	Blackfoot	Pocatello	Driggs	Refs	Location	Paid/Unpaid	International?	Married?	Scheduled hours			Notes				
BYU-Pathway Worldwide 	Data Science (UG17-BS)	4th year undergraduate/senior	375	FA21	No Need												Outside	Paid	Yes		working 40 	22	33	single international working 40 hrs/wk paid in UT with no need but travel expense	40	 in UT	44	50
EIRMC	Social Work (UG20-BS)	4th year undergraduate/senior	375	FA21	No Need			Idaho Falls									Eastern Idaho	Unpaid		Yes	working 25 	9	20	Married working 25 hrs/wk unpaid in Idaho Falls no need with travel expense	25	 in Idaho Falls no need	33	56
Rexburg Medical clinic	Health Care Admin (UG17-BS)	4th year undergraduate/senior	250	FA21	Need	Rexburg											Eastern Idaho	Unpaid			working 20 	8	19	Single working 20 hrs/wk unpaid in Rexburg 	20	#VALUE!	32	#VALUE!
Dome Technology	Construction Management-Business (UG17-BS) (comp A)	4th year undergraduate/senior	500	FA21	No Need												Outside	Paid	Yes		working 50 	22	33	Single international working 50 hrs/wk paid in WA with no need but travel expense	50	 in WA	44	50
BYU-Idaho	Bus Mgmt Marketing (UG20-BS)	4th year undergraduate/senior	184	FA21	Need	Rexburg											Eastern Idaho	Paid			working 20 	8	19	single working 20 hrs/wk paid in Rexburg 	20	#VALUE!	30	#VALUE!
Provo Allerfy and Asthma Clinic	Public Health-Health Science (UG19-BS)	4th year undergraduate/senior	500	FA21	Need												Outside	Paid			working 40 	8	19	Single working 40 hrs/wk paid with travel expense	40	#VALUE!	#VALUE!	30
DCFS	Social Work (UG19-BS)	4th year undergraduate/senior	875	FA21	No Need												Outside	Unpaid		Yes	working 20 	9	20	Married working 20 hrs/wk unpaid in UT with no need but travel expense	20	 in UT	33	39
Social Hustle	Communication-Video Production (UG19-BS)	4th year undergraduate/senior	184	FA21	Need			Idaho Falls									Eastern Idaho	Paid			working 20 	8	19	Single working 20 hrs/wk paid in Idaho Falls with travel expense	20	 in Idaho Falls	30	45
Interiors by Jacquin	Professional Studies (UG20-BS) (comp A)	4th year undergraduate/senior	250	FA21	No Need												Outside	Unpaid		Yes	working 20 	9	20	married working 20 hrs/wk unpaid working remote with no need	20	#VALUE!	#VALUE!	48
Fishbowl Inventory	Computer Engineering (UG17-BS)	4th year undergraduate/senior	184	FA21	No Need												Outside	Paid			working 29 	8	19	Single working 29 hrs/wk paid in UT living with family and no need	29	 in UT living	30	43
Adoption Life	Social Work (UG19-BS)	4th year undergraduate/senior	1,000.00	FA21	Need	Rexburg											Eastern Idaho	Unpaid		Yes	working 20 	20	31	Married with child working 20 hrs/wk unpaid in Rexburg with travel expense	20	#VALUE!	44	8
Polaris Industries	Mechanical Engineering (UG19-BS)	3rd year undergraduate/junior	500	FA21	No Need												Outside	Paid		Yes	working 40 	9	20	Married working 40 hrs/wk paid in MN no need but with travel expense	40	 in MN no need but	31	49
Rexburg Free Clinic 	Public Health-Health Ed and Promotion (UG20-BS)	4th year undergraduate/senior	184	FA21	No Need	Rexburg											Eastern Idaho	Unpaid			working 20 	8	19	Single working 20 hrs/wk unpaid in Rexburg with no need	20	 in Rexburg	32	43
EIRMC	Social Work (UG21-BS)	4th year undergraduate/senior	500	FA21	Need			Idaho Falls									Eastern Idaho	Unpaid			working 24 	8	19	Single working 24 hrs/wk unpaid in Idaho Falls with travel expense	24	 in Idaho Falls	32	47
World Wide Health Staff Solutions	International Studies (UG17-BA)	4th year undergraduate/senior	250	FA21	Need												Outside	Unpaid			working 20 	8	19	Single working 20 hrs/wk unpaid remote 	20	#VALUE!	#VALUE!	#VALUE!
H.O. Bostrom	Mechanical Engineering (UG19-BS)	4th year undergraduate/senior	184	FA21	No Need												Outside	Paid			working 40 	8	19	Single working 40 hrs/wk paid in WI living with family with no need, but travel expense	40	 in WI living	30	43
Rental Property Dashboard	Software Engineering (UG21-BS)	4th year undergraduate/senior	250	FA21	No Need	Rexburg											Eastern Idaho	Unpaid			working 40 	8	19	Single working 40 hrs/wk unpaid in rexburg with no need	40	 in rexburg	32	43
NASA Ames Research Center	Electrical Engineering (UG19-BS)	4th year undergraduate/senior	184	FA21	No Need												Outside	Paid		Yes	working 40 	9	20	Married working 40 hrs/wk paid remote with no need	40	#VALUE!	#VALUE!	38
Big Leap	Bus Mgmt Marketing (UG19-BS)	4th year undergraduate/senior	375	FA21	No Need												Outside	Paid		Yes	working 20 	9	20	Married working 20 hrs/wk paid in UT with no need but with travel expense	20	 in UT	31	37
NSJ Construction	Virtual Design & Const (UG20-BS)	3rd year undergraduate/junior	184	FA21	No Need		Rigby										Eastern Idaho	Paid			working 40 	8	19	Single working 40 hrs/wk paid in Rigby with no need 	40	 in Rigby	30	39
Nauvoo FM	Agron, Crop & Soil Sci (UG19-BS)	4th year undergraduate/senior	500	FA21	No Need												Outside	Paid		Yes	working 40 	9	20	Married working 40 hrs/wk paid in Navoo IL with no need, but have travel expenses	40	 in Navoo IL	31	43
BYU-Idaho (Human Resource Center)	Public Health-Health Ed and Promotion (UG20-BS)	4th year undergraduate/senior	184	FA21	No Need	Rexburg											Eastern Idaho	Paid		Yes	working 35 	9	20	Married working 35 hrs/wk paid in Rexburg with no need 	35	 in Rexburg	31	42
Foundation for Family Life	Child Development-General (UG19-BS)	4th year undergraduate/senior	750	FA21	Need												Outside	Unpaid			working 20 	8	19	Single working 20 hrs/wk unpaid in UT with some travel expense	20	 in UT	32	38
Utah Valley 360	Communication-News/Journalism (UG15-BS)	4th year undergraduate/senior	184	FA21	No Need												Outside	Paid			working 20 	8	19	Single working 20 hrs/wk paid in UT with no need but travel expense	20	 in UT	30	36
Ullrich Insurance Agency	Computer Science (UG20-BS)	3rd year undergraduate/junior	250	FA21	Need	Rexburg											Eastern Idaho	Unpaid			working 20 	8	19	Single working 20 hrs/wk unpaid in Rexburg 	20	#VALUE!	32	#VALUE!
97th Floor	Bus Mgmt Marketing (UG21-BS)	4th year undergraduate/senior	184	FA21	No Need												Outside	Paid			working 20 	8	19	SIngle working 20 hrs/wk paid in UT living with family with no need but travel expense	20	 in UT living	30	43
Kettle Embroidery	Art-Illustration (UG16-BA)	4th year undergraduate/senior	250	FA21	Need	Rexburg											Eastern Idaho	Unpaid			working 25 	8	19	Single working 25 hrs/wk unpaid in Rexburg 	25	#VALUE!	32	#VALUE!
Hangar Marketing	Web Design & Development (UG20-BS)	4th year undergraduate/senior	750	FA21	Need	Rexburg											Eastern Idaho	Unpaid		Yes	working 20 	20	31	Married with child working 20 hrs/wk unpaid in Rexburg	20	#VALUE!	44	8
Rexburg Free Clinic 	Public Health-Health Ed and Promotion (UG16-BS)	4th year undergraduate/senior	500	FA21	Need	Rexburg											Eastern Idaho	Unpaid		Yes	working 20 	9	20	Married working 20 hrs/wk unpaid in Rexburg 	20	#VALUE!	33	#VALUE!
The church of Jesus Christ of Latter Day saints	Business Analytics (UG21-BS)	4th year undergraduate/senior	500	FA21	No Need												Outside	Paid	Yes	Yes	working 40 	23	34	Married international working 40 hrs/wk paid in UT with no need with travel expense	40	 in UT	45	51
Temple View Transitional Care Center	Health Care Admin (UG17-BS)	4th year undergraduate/senior	250	FA21	No Need	Rexburg											Eastern Idaho	Unpaid		Yes	working 40 	9	20	Married working 40 hrs/wk unpaid in Rexburg living with parents with no need but travel expense	40	 in Rexburg living	33	51
Journeys 	Psychology-Psychology (UG17-BS)	4th year undergraduate/senior	500	FA21	Need			Idaho Falls									Eastern Idaho	Paid		Yes	working 21 	9	20	Married working 21 hrs/wk paid in Idaho Falls with travel expense	21	 in Idaho Falls	31	46
Church news	Business Management (UG20-BS)	2nd year undergraduate/sophomore	250	FA21	No Need	Rexburg											Eastern Idaho	Paid	Yes		working 40 	22	33	Single international working 40 hrs/wk paid in Rexburg with no need with travel expense	40	 in Rexburg	44	55
Advisor Branch	Software Engineering (UG20-BS)	4th year undergraduate/senior	184	FA21	No Need												Outside	Paid		Yes	working 40 	9	20	Married working 40 hrs/wk paid in Kansas living with family with no need but travel expense	40	 in Kansas living	31	48
Polaris	Automotive Engineering (UG17-BS)	4th year undergraduate/senior	1,000.00	FA21	Need												Outside	Paid	Yes		working 35 	22	33	Single international working 35 hrs/wk in paid in MN with travel expense	35	 in paid in MN	39	53
HHI Corporation	Construction Management (UG19-BS)	4th year undergraduate/senior	625	FA21	No Need												Outside	Paid		Yes	working 40 	20	31	Married with child working 40 hrs/wk paid in CA with no need with travel expense	40	#VALUE!	42	8
EIRMC	Exercise Physiology (UG16-BS)	4th year undergraduate/senior	250	FA21	No Need			Idaho Falls									Eastern Idaho	Unpaid			working 24 	8	19	Single working 24 hrs/wk unpaid in Idaho Falls with no need but some travel	24	 in Idaho Falls	32	47
Everest Capital Of Wells Fargo Advisors	Business Finance (UG21-BS)	3rd year undergraduate/junior	375	FA21	Need												Outside	Paid			working 20 	8	19	Single working 20 hrs/wk paid in CA with travel expense	20	 in CA	30	36
Malaleuca	Business Analytics (UG19-BS)	4th year undergraduate/senior	375	FA21	No Need			Idaho Falls									Eastern Idaho	Paid	Yes	Yes	working 40 	23	34	married international working 40 hrs/wk paid in Idaho Falls with no need, but travel expense	40	 in Idaho Falls	45	60
Precision Chiropractic	Exercise Physiology (UG16-BS)	4th year undergraduate/senior	500	FA21	Need												Outside	Paid		Yes	working 25 	9	20	Married working 25 hrs/wk paid in Ashinn with travel expense	25	 in Ashinn	31	41
The Good Steward Consignment Boutique	Business Finance (UG19-BS)	4th year undergraduate/senior	750	FA21	Need												Outside	Unpaid	Yes		working 40 	22	33	Single international working 40 hrs/wk unpaid in TX with travel expenses	40	 in TX	46	52
Rehab Specialists of Idaho	Exercise Physiology (UG17-BS)	4th year undergraduate/senior	250	FA21	Need	Rexburg											Eastern Idaho	Unpaid			working 20 	8	19	Single working 20 hrs/wk unpaid in Rexburg 	20	#VALUE!	32	#VALUE!
Solace Hospice	Social Work (UG17-BS)	4th year undergraduate/senior	375	FA21	No Need		Rigby										Eastern Idaho	Unpaid		Yes	working 20 	9	20	Married working 20 hrs/wk unpaid in Rigby with no need, but has travel expenses	20	 in Rigby	33	42
Packed with Pride 	Social Work (UG19-BS)	4th year undergraduate/senior	184	FA21	No Need												Outside	Unpaid		Yes	working 20 	9	20	Married working 20 hrs/wk unpaid in OR living with parents with no need	20	 in OR living	33	46
Research and Business Development Center 	Business Management (UG21-BS)	4th year undergraduate/senior	184	FA21	No Need	Rexburg											Eastern Idaho	Paid			working 20 	9	20	Single aworking 20 hrs/wk paid in Rexburg with no need	20	 in Rexburg	31	42
SP Marketing	Business Analytics (UG20-BS)	4th year undergraduate/senior	250	FA21	No Need												Outside	Paid	Yes	Yes	working 40 	23	34	Married international working 40 hrs/wk paid working remote with no need	40	#VALUE!	#VALUE!	60
Metcon-Ti	Construction Management (UG21-BS)	2nd year undergraduate/sophomore	625	FA21	No Need												Outside	Paid	Yes		working 40 	22	33	Single international working 40 hrs/wk paid in CA with no need, but travel expenses	40	 in CA	44	50
Blixt & Co.	Bus Mgmt Marketing (UG20-BS)	2nd year undergraduate/sophomore	250	FA21	No Need												Outside	Paid	Yes		working 40 	22	33	Single international working 40 hrs/wk paid in Teinnia with no need, but travel expense	40	 in Teinnia	44	55
Big-D Construction	Construction Management (UG20-BS)	3rd year undergraduate/junior	184	FA21	No Need			Idaho Falls									Eastern Idaho	Paid			working 40 	8	19	Single working 40 hrs/wk paid in Idaho Falls, living with parents and no need	40	 in Idaho Falls, living	30	53
Freedom2Retire.com	Business Management-Entrepreneurial Mgmt (UG16-BS)	4th year undergraduate/senior	250	FA21	No Need	Rexburg											Eastern Idaho	Paid		Yes	working 25 	20	31	Married with child working 25 hrs/wk paid in Rexburg with no need	25	#VALUE!	42	8
Madison High School	Marriage and Fam Studies (UG19-BS)	4th year undergraduate/senior	184	FA21	No Need	Rexburg											Eastern Idaho	Paid		Yes	working 20 	9	20	Married working 20 hrs/wk paid in Rexburg no need	20	#VALUE!	31	#VALUE!
GroupAg LLC	Agron, Crop & Soil Sci (UG20-BS)	2nd year undergraduate/sophomore	250	FA21	Need	Rexburg											Eastern Idaho	Paid	Yes		working 40 	22	33	Single international working 40 hrs/wk paid in Rexburg 	40	#VALUE!	44	#VALUE!
Hangar Marketing Agency	Bus Mgmt Marketing (UG19-BS)	4th year undergraduate/senior	250	FA21	No Need	Rexburg											Eastern Idaho	Unpaid		Yes	working 22 	9	20	Married working 22 hrs/wk unpaid in Rexburg with no need	22	 in Rexburg	33	44
Deseret industries	Marriage and Fam Studies (UG19-BS)	4th year undergraduate/senior	184	FA21	No Need	Rexburg											Eastern Idaho	Paid		Yes	working 28 	9	20	Married working 28 hrs/wk paid in Rexburg with no need 	28	 in Rexburg	31	42
BYU-Idaho	Virtual Design & Const (UG20-BS)	3rd year undergraduate/junior	184	FA21	No Need	Rexburg											Eastern Idaho	Paid	Yes		working 40 	22	33	Single international working 40 hrs/wk paid in Rexburg with no need	40	 in Rexburg	44	55
Madison Memorial Hospital	Psychology-Health Psychology (UG19-BS)	4th year undergraduate/senior	375	FA21	No Need	Rexburg											Eastern Idaho	Unpaid		Yes	working 30 	9	20	Married working 30 hrs/wk unpaid in Rexburg with no need 	30	 in Rexburg	33	44
Textile Graphix	Professional Studies (UG19-AAS) (comp A)	2nd year undergraduate/sophomore	184	FA21	Need	Rexburg											Eastern Idaho	Paid			working 40 	8	19	Single working 40 hrs/wk paid in Rexburg 	40	#VALUE!	30	#VALUE!
HHI Corporation	Construction Management-Residential/Commercial (UG17-BS) (comp A)	2nd year undergraduate/sophomore	1,125.00	FA21	No Need				IF								Eastern Idaho	Paid		Yes	working 40 	16	27	Stu is married working 40 hrs/wk a week paid in a high cost area of California. No need. The stu does have a travel expense.	40	#VALUE!	45	#VALUE!
Worldwide healthstaff solutions	Bus Mgmt Marketing (UG20-BS)	4th year undergraduate/senior	250	FA21	Need												Outside	Paid	Yes		working 20 	39	50	Stu is a single international student working 20 hrs/wk a week paid remote. Does have need.	20	#VALUE!	#VALUE!	#VALUE!
CRH America's Materials	Occup Safety & Health (UG19-BS)	4th year undergraduate/senior	250	FA21	No Need												Outside	Paid	Yes		working 40 	39	50	Stu is a single international student working 40 hrs/wk a week paid in Eastern Idaho. Has no need. Stu does have a travel expense.	40	#VALUE!	68	#VALUE!
Venture Creative Studios	Communication-Advertising (UG17-BS)	4th year undergraduate/senior	500	FA21	Need												Outside	Unpaid			working 20 	28	39	Stu is a single US citizen working 20 hrs/wk a week unpaid remote. Stu has need. Stu has in travel a few times in UT for his Internship.	20	#VALUE!	89	#VALUE!
Saint Anthony Rehabilitation 	Exercise Physiology (UG19-BS)	4th year undergraduate/senior	500	FA21	Need						St Anthony						Eastern Idaho	Unpaid			working 20 	26	37	Stu is Single US citizen working 20 hrs/wk a week unpaid in St Anthony. They do have financial need. They do have a travel expense. 	20	#VALUE!	57	#VALUE!
The church of Jesus Christ of Latter Day saints	Software Engineering (UG20-BS)	4th year undergraduate/senior	500	FA21	No Need												Outside	Paid	Yes	Yes	working 40 	37	48	Married with children international working 40 hrs/wk paid in UT with no need with some travel expenses	40	#VALUE!	59	8
Jeffferson County Extension	FCS Extension (UG20-BS)	4th year undergraduate/senior	750	FA21	Need	Rexburg											Eastern Idaho	Paid		Yes	working 20	20	30	Married with child working 20hrs/wk paid in Rexburg with travel expense	20	#VALUE!	41	8
ByteDance	Financial Economics (UG20-BS)	4th year undergraduate/senior	1,125.00	FA21	No Need												Outside	Unpaid	Yes		working 50 	22	33	Single international working 50 hrs/wk unpaid in China living with family and no need	50	 in China living	46	62
ContractPal, INC	Web Design & Development (UG21-BS)	4th year undergraduate/senior	375	FA21	No Need												Outside	Paid	Yes	Yes	working 40 	37	48	Married with dhildren international working 40 hrs/wk paid working remote with no need	40	#VALUE!	#VALUE!	8
Tautphaus Park Zoo	Biology-Zoology (UG17-BS)	4th year undergraduate/senior	500	FA21	Need			Idaho Falls									Eastern Idaho	Unpaid			working 20 	8	19	Single working 20 hrs/wk unpaid in Idaho Falls with travel expense	20	 in Idaho Falls	32	47
RDBC	Business Finance (UG19-BS)	4th year undergraduate/senior	500	FA21	Need	Rexburg											Eastern Idaho	Unpaid			working 30 	8	19	Single working 30 hrs/wk unpaid in Rexburg 	30	#VALUE!	32	#VALUE!
RDBC	Economics (UG19-BS)	4th year undergraduate/senior	250	FA21	Need	Rexburg											Eastern Idaho	Unpaid		Yes	working 20 	9	20	Married working 20 hrs/wk unpaid in Rexburg 	20	#VALUE!	33	#VALUE!
MMH Rexburg Medical Clinic	Health Care Admin (UG19-BS)	4th year undergraduate/senior	750	FA21	Need	Rexburg											Eastern Idaho	Unpaid		Yes	working 20 	20	31	Married with child working 20 hrs/wk unpaid in Rexburg 	20	#VALUE!	44	8
Congressman Mike Simpson 2nd district 	Political Science-Foreign Affairs (UG20-BA)	4th year undergraduate/senior	750	FA21	Need			Idaho Falls									Eastern Idaho	Unpaid		Yes	working 20 	9	20	Married working 20 hrs/wk unpaid in Idaho Falls with travel expense	20	 in Idaho Falls	33	48
Eagle Eye Produce	Software Engineering (UG17-BS)	4th year undergraduate/senior	184	FA21	No Need			Idaho Falls									Eastern Idaho	Paid			working 20 	8	19	Single working 20 hrs/wk paid in Idaho falls with no need but travel expense	20	 in Idaho falls	30	45
Dorman Products	Advanced Vehicle Systems (UG19-BS)	4th year undergraduate/senior	184	FA21	No Need												Outside	Paid			working 40 	8	19	Single working 40 hrs/wk paid in PA with travel expense and no need	40	 in PA	30	36
CBI Offroad	Business Supply Chain (UG19-BS)	4th year undergraduate/senior	375	FA21	Need			Idaho Falls									Eastern Idaho	Paid	Yes	Yes	working 20 	23	34	Married international working 20 hrs/wk paid in Idaho Falls with travel expense	20	 in Idaho Falls	45	60
DHG	Accounting (UG20-BS)	4th year undergraduate/senior	184	FA21	No Need												Outside	Paid	Yes		working 20 	22	33	Single international working 20 hrs/wk paid remote with no need	20	#VALUE!	#VALUE!	51
Beehive Federal Credit Union	Business Analytics (UG21-BS)	3rd year undergraduate/junior	250	FA21	Need	Rexburg											Eastern Idaho	Paid		Yes	working 25 	20	31	Married with child working 25 hrs/wk paid  in Rexburg 	25	#VALUE!	43	8
BYU-Pathway Worldwide 	Business Finance (UG19-BS)	4th year undergraduate/senior	184	FA21	No Need												Outside	Paid			working 20 	8	19	Single working 20 hrs/wk paid remote with no need	20	#VALUE!	#VALUE!	37
HorizonPWR	Applied Technology (UG22-BS)	4th year undergraduate/senior	250	FA21	No Need	Rexburg											Eastern Idaho	Paid		Yes	working 40 	23	34	Married with children working 40 hrs/wk paid in Rexburg with no need	40	#VALUE!	45	8
Proof Marketing	Communication-Advertising (UG17-BS)	4th year undergraduate/senior	500	FA21	No Need												Outside	Unpaid		Yes	working 25 	9	20	Married working 25 hrs/wk unpaid in UT with no need, but with travel expense	25	 in UT	33	39
Harwood Elementary	Social Work (UG17-BS)	4th year undergraduate/senior	750	FA21	Need		Rigby										Eastern Idaho	Unpaid		Yes	working 20 	9	20	Married working 20 hrs/wk unpaid in Rigby with travel expense	20	 in Rigby	33	42
Longvine Growing Company	Agron, Crop & Soil Sci (UG16-BS)	4th year undergraduate/senior	184	FA21	No Need												Outside	Paid			working 42 	8	19	Single working 42 hrs/wk paid in UT with no need, but travel expense	42	 in UT	30	36
Riverbend Management	Accounting (UG19-BS) (comp A)	4th year undergraduate/senior	375	FA21	No Need			Idaho Falls									Eastern Idaho	Paid		Yes	working 40 	23	34	Married with children working 40 hrs/wk paid in Idaho Falls with no need, but has travel expense	40	#VALUE!	45	8
Madison Memorial Hospital	Health Care Admin (UG19-BS)	4th year undergraduate/senior	375	FA21	No Need	Rexburg											Eastern Idaho	Unpaid		Yes	working 25 	9	20	Married working 25 hrs/wk unpaid in Rexburg with no need, but with some travel expense	25	 in Rexburg	33	44
Gourgeous Garage/The Stow Company	Advanced Vehicle Systems (UG17-BS)	4th year undergraduate/senior	184	FA21	No Need	Rexburg											Eastern Idaho	Paid		Yes	working 40 	9	20	Married working 40 hrs/wk paid in Rexburg with no need	40	 in Rexburg	31	42
Innovecture	Business Management (UG20-BS)	4th year undergraduate/senior	1,250.00	FA21	Need												Outside	Paid	Yes	Yes	working 40 	34	45	Married with child international working 40 hrs/wk paid in UT with travel expense	40	#VALUE!	56	8
Lateral Link	Computer Info Technology (UG15-BS)	4th year undergraduate/senior	1,000.00	FA21	Need												Outside	Paid	Yes		working 40 	22	33	Single international working 40 hrs/wk paid in CA with travel expense	40	 in CA	44	50
Idaho Steel	Mechanical Engineering (UG17-BS)	4th year undergraduate/senior	750	FA21	Need			Idaho Falls									Eastern Idaho	Paid	Yes	Yes	working 40 	23	34	Married international working 40 hrs/wk paid in Idaho Falls with travel expense	40	 in Idaho Falls	45	60
Spudnik	Welding Engineering Tech (UG19-BS)	2nd year undergraduate/sophomore	184	FA21	No Need								Blackfoot				Eastern Idaho	Paid			working 40 	8	19	Single working 40 hrs/wk paid in Blackfoot with no need, but travel expense	40	 in Blackfoot	30	43
A.S House of Representatives	Financial Economics (UG20-BS)	4th year undergraduate/senior	184	FA21	No Need												Outside	Unpaid			working 20 	8	19	Single working 20 hrs/wk unpaid in AZ living with family and no need, but travel expense	20	 in AZ living	32	45
BYU-Idaho Child Labs	Child Development-General (UG16-BS)	4th year undergraduate/senior	250	FA21	Need	Rexburg											Eastern Idaho	Unpaid			working 20 	8	19	Single working 20 hrs/wk unpaid in Rexburg 	20	#VALUE!	32	#VALUE!
Engineered Labs	Computer Engineering (UG19-BS)	4th year undergraduate/senior	250	FA21	Need												Outside	Paid			working 35 	8	19	Single working 35 hrs/wk paid in ST. Anthony with travel expense	35	 in ST. Anthony	30	45
Dimple Dell Fitness and Recreation Center	Recreation Management (UG19-BS)	4th year undergraduate/senior	750	FA21	Need												Outside	Paid		Yes	working 34 	9	20	Married working 34 hrs/wk paid in UT with travel expense	34	 in UT	31	37
One Love Agency	Social Work (UG20-BS)	3rd year undergraduate/junior	500	FA21	Need			Idaho Falls									Eastern Idaho	Unpaid			working 20 	8	19	Single working 20 hrs/wk unpaid in Idaho Falls with travel expenses	20	 in Idaho Falls	32	47
BYU-Idaho (Financial Aid Office)	Bus Mgmt Marketing (UG20-BS)	4th year undergraduate/senior	5	FA21	No Need	Rexburg											Eastern Idaho	Paid			working 20 	8	19	Single working 20 hrs/wk paid in Rexburg with no need	20	 in Rexburg	30	41
The church of Jesus Christ of Latter Day saints	Communication-Visual Communication (UG15-BS)	4th year undergraduate/senior	250	FA21	No Need												Outside	Paid			working 28 	8	19	Single working 28 hrs/wk paid in UT with no need but travel expenses	28	 in UT	30	36
San Francisco Campus for Jewish Living	Therapeutic Recreation (UG19-BS)	4th year undergraduate/senior	1,500.00	FA21	No Need				IF								Eastern Idaho	Unpaid		Yes	working 40 	9	20	Married working 40 hrs/wk unpaid in CA with no need, but high cost housing and travel expense and certification and application expense	40	 in CA	33	39
East Idaho Aquarium	Animal Science (UG22-BS)	4th year undergraduate/senior	250	FA21	Need			Idaho Falls									Eastern Idaho	Paid			working 32 	8	19	Single working 32 hrs/wk paid in Idaho Falls with travel expense	32	 in Idaho Falls	30	45
Imagine! (Imagine Colorado)	Therapeutic Recreation (UG19-BS)	4th year undergraduate/senior	1,500.00	FA21	Need												Outside	Unpaid		Yes	working 40 	9	20	Married working 40 hrs/wk unpaid in CO with some travel expenses	40	 in CO	33	39
Madison Memorial Hospital	Social Work (UG17-BS)	4th year undergraduate/senior	500	FA21	Need	Rexburg											Eastern Idaho	Unpaid			working 40 	8	19	Single working 40 hrs/wk unpaid in Rexburg	40	#VALUE!	32	#VALUE!
Harwood Elementary	Social Work (UG17-BS)	4th year undergraduate/senior	625	FA21	No Need		Rigby										Eastern Idaho	Unpaid		Yes	working 30 	25	36	Married with child DACA working 30 hrs/wk unpaid in Rigby with no need	30	#VALUE!	49	8
Carriage Cove Short Stay Rehabilitation	Therapeutic Recreation (UG19-BS)	4th year undergraduate/senior	500	FA21	Need	Rexburg											Eastern Idaho	Unpaid			working 45 	8	19	Single working 45 hrs/wk unpaid in Rexburg	45	#VALUE!	32	#VALUE!
Legacy Logistics 	Business Management Ops (UG21-BS)	4th year undergraduate/senior	180	FA21	Need												Outside	Paid			working 40 	8	19	Single working 40 hrs/wk paid in SLC living with family	40	 in SLC living	30	44
Recreational Facilities	Recreation Management (UG19-BS)	4th year undergraduate/senior	184	FA21	No Need	Rexburg											Eastern Idaho	Paid		Yes	working 30 	9	20	Married working 30 hrs/wk paid in Rexburg with no need	30	 in Rexburg	31	42
Senior Solutions	Health Care Admin (UG15-BS)	4th year undergraduate/senior	1,000.00	FA21	Need			Idaho Falls									Eastern Idaho	Unpaid		Yes	working 20 	23	34	Married with children working 20 hrs/wk unpaid in Idaho Falls with travel expense	20	#VALUE!	47	8
Stukent INC	Data Science (UG21-BS)	2nd year undergraduate/sophomore	250	FA21	Need	Rexburg											Eastern Idaho	Paid	Yes		working 40 	22	33	Single international working 40 hrs/wk paid in Rexburg	40	#VALUE!	44	#VALUE!
Idaho Potato Comission	Business Finance (UG21-BS)	3rd year undergraduate/junior	375	FA21	No Need	Rexburg											Eastern Idaho	Unpaid	Yes	Yes	working 20 	23	34	Married international working 20 hrs/wk unpaid in Rexburg with no need	20	 in Rexburg	47	58
Council for Exceptional Children	Computer Science (UG20-BS)	3rd year undergraduate/junior	2,000.00	FA21	Need												Outside	Paid	Yes		working 20 	22	33	Single international working 20 hrs/wk paid in Arlinginn VA	20	#VALUE!	44	#VALUE!
Haven of show low	Physical Therapist Assis (UG22-AAS)	2nd year undergraduate/sophomore	1,750.00	FA21	Need												Outside	Unpaid		Yes	#VALUE!	#VALUE!	#VALUE!	Student is Married with 1 child doing a 40 hour a week unpaid internship in Arizone. Has need. Has some travel expense.	#VALUE!	#VALUE!	73	19
CPM Connextion Property Management	Business Finance (UG21-BS)	4th year undergraduate/senior	184	FA21	No Need	Rexburg											Eastern Idaho	Paid		Yes	#VALUE!	#VALUE!	#VALUE!	Student is married doing a 20 hour a week paid internship in Rexburg. No need.	#VALUE!	#VALUE!	58	#VALUE!
Consumer Care LLC	Social Work (UG17-BS)	4th year undergraduate/senior	184	FA21	Need									Pocatello			Eastern Idaho	Unpaid			working 20 	8	19	Single working 20 hrs/wk unpaid in Pocatello. Living with family	20	 in Pocatello. Living	32	53
Extra Space Storage	Business Analytics (UG20-BS)	4th year undergraduate/senior	625	FA21	No Need												Outside	Paid	Yes	Yes	working 40 	37	48	Married with children international working 40 hrs/wk paid in UT with no need and travel expense	40	#VALUE!	59	8
Temple View Transitional Care Center	Exercise Physiology (UG20-BS)	4th year undergraduate/senior	375	FA21	No Need	Rexburg											Eastern Idaho	Paid		Yes	working 40 	9	20	Married working 40 hrs/wk paid in Rexburg with no need	40	 in Rexburg	31	42
Tueller Counseling Services	Social Work (UG21-BS)	4th year undergraduate/senior	375	FA21	No Need	Rexburg											Eastern Idaho	Unpaid		Yes	working 20 	9	20	Married working 20 hrs/wk unpaid in Rexburg with no need with travel expense	20	 in Rexburg	33	44
Harwood Elementary	Marriage and Fam Studies-Professional General (UG17-BS)	4th year undergraduate/senior	1,000.00	FA21	Need												Outside	Unpaid		Yes	working 20 	9	20	Married working 20 hrs/wk unpaid with travel expense	20	#VALUE!	#VALUE!	33
The church of Jesus Christ of Latter Day saints	International Studies (UG19-BA)	4th year undergraduate/senior	1,000.00	FA21	Need												Outside	Paid	Yes	Yes	working 40 	27	38	Married international stu working 40 hrs/wk paid in UT with travel expense	40	 in UT	49	55
UC Davis	Biology-Microbiology (UG16-BS)	4th year undergraduate/senior	1,000.00	FA21	No Need												Outside	Unpaid		Yes	working 40 	9	20	Married working 40 hrs/wk unpaid in CA with travel expenses, but no need	40	 in CA	33	39
